collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-21T08:16:58.062890+00:00,top_selling,1,PUBG: BATTLEGROUNDS,578080,免费开玩,▲ 5,up,495,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,2,Apex Legends™,1172470,免费开玩,▼ 1,down,305,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,3,EA SPORTS FC™ 27,4080220,$69.99,▲ 45,up,8,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,4,WARDOGS,1867240,$39.99,▲ 7,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,5,Counter-Strike 2,730,免费开玩,▲ 2,up,736,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,6,Grand Theft Auto V 增强版,3240220,-50%$29.99$14.99,▲ 13,up,60,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,7,博德之门3,1086940,-30%$59.99$41.99,▲ 81,up,41,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,8,《NBA 2K27》,4356430,$69.99,▼ 5,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,9,影之刃零,4115450,$59.99,▼ 1,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,10,三角洲行动,2507950,免费开玩,▼ 5,down,93,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,11,渔力全开,4001890,$7.99,▼ 7,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,12,猛兽派对,1260320,-50%$19.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,13,空之轨迹 the 2nd,4225980,-10%$59.99$53.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,14,《暗黑破坏神® IV》,2344520,-75%$49.99$12.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,15,Warframe 星际战甲,230410,免费开玩,▲ 5,up,533,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,16,Far Cry® 6,2369390,-90%$59.99$5.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,17,Watch_Dogs® 2,447040,-95%$49.99$2.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,18,Wallpaper Engine：壁纸引擎,431960,$4.99,▲ 5,up,510,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,19,双影奇境,2001120,-35%$49.99$32.49,▲ 68,up,84,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,20,Limbus Company,1973530,免费开玩,▲ 42,up,37,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,21,Dota 2,570,免费开玩,▼ 4,down,25,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,22,Big Walk,1478500,$19.99,▲ 16,up,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,23,极限国度,2290180,-90%$39.99$3.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,24,控制: 共振,3669870,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-21T08:16:58.062890+00:00,top_selling,25,双人成行,1426210,-70%$39.99$11.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
